",title,ticket_price,Day of the Week,Theater Type"
"2495,Trance,215.74,Weekend,multiplex"
"2496,Soul Plane,534.2,Weekday,single screen"
"2497,Welcome to the Sticks,563.23,Weekend,multiplex"
"2498,Good,309.81,Weekday,multiplex"
"2499,Enter the Void,125.31,Weekday,single screen"
"2500,Vamps,119.7,Weekday,multiplex"
"2501,Hachi: A Dog's Tale,386.97,Weekday,single screen"
"2502,Zulu,296.45,Weekend,multiplex"
"2503,The Homesman,114.33,Weekday,single screen"
"2504,Juwanna Mann,391.63,Weekday,multiplex"
"2505,Ararat,105.65,Weekday,single screen"
"2506,Madison,493.69,Weekday,multiplex"
"2507,Slow Burn,253.22,Weekend,multiplex"
"2508,Wasabi,120.13,Weekday,single screen"
"2509,Slither,234.0,Weekend,single screen"
"2510,Beverly Hills Cop,184.86,Weekend,multiplex"
"2511,Home Alone,109.57,Weekday,multiplex"
"2512,Three Men and a Baby,489.55,Weekend,single screen"
"2513,Tootsie,404.85,Weekend,single screen"
"2514,Top Gun,449.82,Weekend,multiplex"
"2515,""Crouching Tiger, Hidden Dragon"",519.08,Weekday,single screen"
"2516,American Beauty,501.41,Weekend,multiplex"
"2517,The King's Speech,580.46,Weekend,multiplex"
"2518,Twins,367.97,Weekend,single screen"
"2519,The Yellow Handkerchief,344.25,Weekday,single screen"
"2520,The Color Purple,300.94,Weekend,single screen"
"2521,Tidal Wave,176.85,Weekday,single screen"
"2522,The Imitation Game,386.3,Weekday,single screen"
"2523,Private Benjamin,238.51,Weekday,multiplex"
"2524,Coal Miner's Daughter,560.65,Weekday,multiplex"
"2525,Diary of a Wimpy Kid,391.6,Weekday,single screen"
"2526,Mama,396.42,Weekday,single screen"
"2527,National Lampoon's Vacation,277.46,Weekend,single screen"
"2528,Bad Grandpa,125.99,Weekday,multiplex"
"2529,The Queen,115.87,Weekend,single screen"
"2530,Beetlejuice,311.67,Weekend,single screen"
"2531,Why Did I Get Married?,142.28,Weekday,multiplex"
"2532,Little Women,403.42,Weekend,multiplex"
"2533,The Woman in Black,540.49,Weekend,single screen"
"2534,When a Stranger Calls,541.46,Weekend,single screen"
"2535,Big Fat Liar,429.52,Weekend,single screen"
"2536,The Deer Hunter,205.62,Weekday,multiplex"
"2537,Wag the Dog,531.5,Weekend,single screen"
"2538,The Lizzie McGuire Movie,543.05,Weekday,single screen"
"2539,Snitch,198.33,Weekend,single screen"
"2540,Krampus,468.71,Weekend,multiplex"
"2541,The Faculty,243.26,Weekday,multiplex"
"2542,What's Love Got to Do with It,501.32,Weekend,single screen"
"2543,Cop Land,598.62,Weekend,single screen"
"2544,Not Another Teen Movie,115.01,Weekend,multiplex"
"2545,End of Watch,548.68,Weekday,multiplex"
"2546,The Skulls,411.32,Weekend,multiplex"
"2547,The Theory of Everything,586.69,Weekday,multiplex"
"2548,Malibu's Most Wanted,332.5,Weekend,multiplex"
"2549,Where the Heart Is,523.69,Weekday,multiplex"
"2550,Lawrence of Arabia,131.2,Weekday,multiplex"
"2551,Halloween II,267.64,Weekend,multiplex"
"2552,Wild,133.51,Weekend,multiplex"
"2553,The Last House on the Left,587.67,Weekday,single screen"
"2554,The Wedding Date,508.49,Weekday,single screen"
"2555,Halloween: Resurrection,526.27,Weekend,single screen"
"2556,The Princess Bride,568.98,Weekday,multiplex"
"2557,The Great Debaters,142.55,Weekend,single screen"
"2558,Drive,292.8,Weekend,multiplex"
"2559,Confessions of a Teenage Drama Queen,135.52,Weekend,multiplex"
"2560,The Object of My Affection,205.4,Weekend,single screen"
"2561,28 Weeks Later,214.68,Weekday,multiplex"
"2562,When the Game Stands Tall,334.55,Weekend,single screen"
"2563,Because of Winn-Dixie,234.28,Weekday,single screen"
"2564,Love & Basketball,150.49,Weekend,single screen"
"2565,Grosse Pointe Blank,183.75,Weekday,multiplex"
"2566,All About Steve,173.64,Weekend,single screen"
"2567,Book of Shadows: Blair Witch 2,586.54,Weekday,multiplex"
"2568,The Craft,479.65,Weekday,single screen"
"2569,Match Point,583.88,Weekend,single screen"
"2570,Ramona and Beezus,319.87,Weekend,single screen"
"2571,The Remains of the Day,239.18,Weekend,multiplex"
"2572,Boogie Nights,499.15,Weekend,multiplex"
"2573,Nowhere to Run,263.13,Weekday,multiplex"
"2574,Flicka,249.69,Weekend,single screen"
"2575,The Hills Have Eyes 2,216.25,Weekday,single screen"
"2576,Urban Legends: Final Cut,164.84,Weekday,multiplex"
"2577,Tuck Everlasting,228.23,Weekend,multiplex"
"2578,The Marine,277.66,Weekday,multiplex"
"2579,Keanu,437.0,Weekday,multiplex"
"2580,Country Strong,131.28,Weekday,multiplex"
"2581,Disturbing Behavior,205.25,Weekday,multiplex"
"2582,The Place Beyond the Pines,504.51,Weekend,single screen"
"2583,The November Man,173.46,Weekend,multiplex"
"2584,Eye of the Beholder,271.32,Weekend,single screen"
"2585,The Hurt Locker,532.33,Weekend,single screen"
"2586,Firestarter,177.46,Weekday,multiplex"
"2587,Killing Them Softly,141.37,Weekday,multiplex"
"2588,A Most Wanted Man,342.27,Weekend,single screen"
"2589,Freddy Got Fingered,251.21,Weekend,multiplex"
"2590,VeggieTales: The Pirates Who Don't Do Anything,381.7,Weekend,multiplex"
"2591,U2 3D,501.9,Weekday,single screen"
"2592,Highlander: Endgame,168.57,Weekend,single screen"
"2593,Idlewild,390.35,Weekend,single screen"
"2594,One Day,352.75,Weekend,multiplex"
"2595,Whip It,172.04,Weekday,single screen"
"2596,Knockaround Guys,412.0,Weekday,multiplex"
"2597,Confidence,236.82,Weekday,single screen"
"2598,The Muse,343.92,Weekday,single screen"
"2599,De-Lovely,141.14,Weekday,single screen"
"2600,New York Stories,329.79,Weekday,multiplex"
"2601,Barney's Great Adventure,253.23,Weekday,multiplex"
"2602,The Man with the Iron Fists,511.19,Weekday,single screen"
"2603,Home Fries,128.49,Weekend,single screen"
"2604,Here On Earth,309.3,Weekend,single screen"
"2605,Brazil,329.22,Weekday,multiplex"
"2606,Raise Your Voice,462.5,Weekday,single screen"
"2607,The Big Lebowski,387.14,Weekend,multiplex"
"2608,Black Snake Moan,433.61,Weekday,single screen"
"2609,Dark Blue,488.52,Weekday,single screen"
"2610,A Mighty Heart,531.1,Weekday,single screen"
"2611,Whatever It Takes,256.94,Weekend,single screen"
"2612,Boat Trip,369.01,Weekend,single screen"
"2613,The Importance of Being Earnest,520.05,Weekend,single screen"
"2614,The Love Letter,594.73,Weekend,multiplex"
"2615,Hoot,544.76,Weekend,single screen"
"2616,In Bruges,285.73,Weekday,multiplex"
"2617,Peeples,197.58,Weekend,single screen"
"2618,The Rocker,344.7,Weekday,single screen"
"2619,Post Grad,470.82,Weekday,multiplex"
"2620,Promised Land,346.28,Weekend,single screen"
"2621,Whatever Works,341.59,Weekend,multiplex"
"2622,The In Crowd,519.12,Weekday,multiplex"
"2623,The Three Burials of Melquiades Estrada,280.7,Weekday,single screen"
"2624,Jakob the Liar,529.9,Weekday,multiplex"
"2625,Kiss Kiss Bang Bang,303.4,Weekend,multiplex"
"2626,Idle Hands,264.12,Weekend,single screen"
"2627,Mulholland Drive,326.99,Weekend,multiplex"
"2628,Blood and Chocolate,481.22,Weekend,single screen"
"2629,You Will Meet a Tall Dark Stranger,163.0,Weekend,single screen"
"2630,Never Let Me Go,198.21,Weekday,single screen"
"2631,The Company,575.72,Weekend,single screen"
"2632,Transsiberian,187.75,Weekday,multiplex"
"2633,The Clan of the Cave Bear,383.86,Weekday,single screen"
"2634,Crazy in Alabama,389.66,Weekday,single screen"
"2635,Funny Games,344.81,Weekend,multiplex"
"2636,Listening,422.37,Weekend,single screen"
"2637,Felicia's Journey,214.91,Weekend,single screen"
"2638,Metropolis,376.33,Weekday,multiplex"
"2639,District B13,286.09,Weekday,multiplex"
"2640,Things to Do in Denver When You're Dead,430.83,Weekday,multiplex"
"2641,The Assassin,170.61,Weekday,multiplex"
"2642,Buffalo Soldiers,385.44,Weekday,multiplex"
"2643,The Return,192.64,Weekday,multiplex"
"2644,Ong Bak 2,239.32,Weekend,multiplex"
"2645,Centurion,209.35,Weekend,single screen"
"2646,Silent Trigger,191.42,Weekend,multiplex"
"2647,The Midnight Meat Train,512.86,Weekend,multiplex"
"2648,Winnie Mandela,242.85,Weekday,multiplex"
"2649,The Son of No One,563.56,Weekday,single screen"
"2650,All The Queen's Men,584.96,Weekend,single screen"
"2651,The Good Night,385.63,Weekday,multiplex"
"2652,Bathory: Countess of Blood,171.5,Weekend,multiplex"
"2653,Khumba,287.27,Weekend,multiplex"
"2654,Automata,498.87,Weekend,single screen"
"2655,Dungeons & Dragons: Wrath of the Dragon God,283.7,Weekday,single screen"
"2656,Chiamatemi Francesco - Il Papa della gente,143.51,Weekend,multiplex"
"2657,Shinjuku Incident,378.39,Weekend,single screen"
"2658,Pandaemonium,522.56,Weekend,multiplex"
"2659,Groundhog Day,497.96,Weekday,single screen"
"2660,Magic Mike XXL,187.56,Weekday,single screen"
"2661,Romeo + Juliet,436.38,Weekend,multiplex"
"2662,Sarah's Key,210.25,Weekday,multiplex"
"2663,Freedom,209.1,Weekday,multiplex"
"2664,Unforgiven,537.04,Weekday,multiplex"
"2665,Manderlay,224.83,Weekday,single screen"
"2666,Slumdog Millionaire,231.62,Weekday,single screen"
"2667,Fatal Attraction,100.33,Weekday,single screen"
"2668,Pretty Woman,535.33,Weekday,multiplex"
"2669,Crocodile Dundee II,496.3,Weekday,single screen"
"2670,Broken Horses,413.66,Weekday,multiplex"
"2671,Born on the Fourth of July,475.13,Weekday,single screen"
"2672,Cool Runnings,176.02,Weekend,multiplex"
"2673,My Bloody Valentine,329.16,Weekend,multiplex"
"2674,Stomp the Yard,275.61,Weekday,single screen"
"2675,The Spy Who Loved Me,146.89,Weekend,multiplex"
"2676,Urban Legend,343.07,Weekend,multiplex"
"2677,Good Deeds,560.37,Weekday,single screen"
"2678,White Fang,120.03,Weekday,multiplex"
"2679,Superstar,245.73,Weekday,multiplex"
"2680,The Iron Lady,203.77,Weekend,multiplex"
"2681,Jonah: A VeggieTales Movie,219.07,Weekend,single screen"
"2682,Poetic Justice,554.22,Weekday,single screen"
"2683,All About the Benjamins,334.03,Weekday,multiplex"
"2684,Vampire in Brooklyn,333.15,Weekday,single screen"
"2685,Exorcist II: The Heretic,480.29,Weekend,multiplex"
"2686,An American Haunting,177.25,Weekend,multiplex"
"2687,My Boss's Daughter,343.63,Weekend,multiplex"
"2688,A Perfect Getaway,314.99,Weekend,multiplex"
"2689,Our Family Wedding,398.46,Weekday,multiplex"
"2690,Dead Man on Campus,599.78,Weekday,single screen"
"2691,Tea with Mussolini,484.72,Weekday,multiplex"
"2692,Thinner,298.93,Weekday,single screen"
"2693,""New York, New York"",513.78,Weekend,single screen"
"2694,Crooklyn,185.35,Weekend,multiplex"
"2695,I Think I Love My Wife,115.23,Weekday,multiplex"
"2696,Jason X,202.22,Weekday,single screen"
"2697,Bobby,270.21,Weekend,single screen"
"2698,Head Over Heels,355.29,Weekday,single screen"
"2699,Fun Size,407.56,Weekend,multiplex"
"2700,The Diving Bell and the Butterfly,555.3,Weekday,single screen"
"2701,Little Children,354.93,Weekday,multiplex"
"2702,Gossip,350.64,Weekday,multiplex"
"2703,A Walk on the Moon,125.12,Weekday,multiplex"
"2704,Catch a Fire,117.46,Weekday,single screen"
"2705,Soul Survivors,375.58,Weekday,multiplex"
"2706,Jefferson in Paris,319.09,Weekday,multiplex"
"2707,Easy Virtue,519.59,Weekend,multiplex"
"2708,Caravans,180.34,Weekend,multiplex"
"2709,Mr. Turner,112.49,Weekend,multiplex"
"2710,Wild Grass,324.52,Weekend,single screen"
"2711,Amen.,218.74,Weekend,multiplex"
"2712,Reign of Assassins,124.81,Weekday,multiplex"
"2713,The Lucky Ones,462.3,Weekday,single screen"
"2714,Margaret,155.8,Weekend,multiplex"
"2715,Stan Helsing,404.16,Weekday,single screen"
"2716,Flipped,240.52,Weekend,multiplex"
"2717,Brokeback Mountain,186.75,Weekend,single screen"
"2718,Clueless,289.88,Weekday,single screen"
"2719,Far from Heaven,500.72,Weekday,multiplex"
"2720,Hot Tub Time Machine 2,296.05,Weekday,multiplex"
"2721,Quills,475.38,Weekend,multiplex"
"2722,Seven Psychopaths,162.74,Weekday,single screen"
"2723,The Caveman's Valentine,486.39,Weekend,single screen"
"2724,Downfall,218.47,Weekend,single screen"
"2725,The Sea Inside,438.7,Weekend,multiplex"
"2726,Under the Skin,382.89,Weekday,single screen"
"2727,""Good Morning, Vietnam"",564.57,Weekday,single screen"
"2728,The Last Godfather,293.66,Weekend,multiplex"
"2729,Justin Bieber: Never Say Never,133.08,Weekday,single screen"
"2730,Black Swan,109.58,Weekday,single screen"
"2731,The Godfather: Part II,513.43,Weekday,multiplex"
"2732,Save the Last Dance,362.37,Weekend,single screen"
"2733,A Nightmare on Elm Street 4: The Dream Master,487.62,Weekend,multiplex"
"2734,Miracles from Heaven,217.21,Weekday,multiplex"
"2735,""Dude, Where’s My Car?"",272.54,Weekend,multiplex"
"2736,Young Guns,115.05,Weekday,multiplex"
"2737,St. Vincent,580.75,Weekday,multiplex"
"2738,About Last Night,433.93,Weekday,single screen"
"2739,10 Things I Hate About You,566.6,Weekday,single screen"
"2740,The New Guy,232.75,Weekend,multiplex"
"2741,National Lampoon's Loaded Weapon 1,405.73,Weekend,multiplex"
"2742,The Shallows,439.25,Weekend,single screen"
"2743,The Butterfly Effect,258.77,Weekday,multiplex"
"2744,Snow Day,524.05,Weekday,multiplex"
"2745,This Christmas,573.58,Weekday,multiplex"
"2746,Baby Geniuses,542.43,Weekend,single screen"
"2747,The Big Hit,469.53,Weekday,single screen"
"2748,Harriet the Spy,238.73,Weekend,multiplex"
"2749,Child's Play 2,240.81,Weekend,multiplex"
"2750,No Good Deed,581.68,Weekend,single screen"
"2751,The Mist,105.14,Weekend,single screen"
"2752,Ex Machina,458.02,Weekend,multiplex"
"2753,Being John Malkovich,453.12,Weekend,multiplex"
"2754,Two Can Play That Game,411.34,Weekday,single screen"
"2755,Earth to Echo,595.05,Weekday,single screen"
"2756,Crazy/Beautiful,255.94,Weekend,single screen"
"2757,Letters from Iwo Jima,269.99,Weekend,multiplex"
"2758,The Astronaut Farmer,139.47,Weekday,single screen"
"2759,Woo,321.4,Weekend,multiplex"
"2760,Room,230.52,Weekend,single screen"
"2761,Dirty Work,271.69,Weekday,single screen"
"2762,Serial Mom,517.29,Weekend,single screen"
"2763,Dick,567.74,Weekend,single screen"
"2764,Light It Up,192.87,Weekend,multiplex"
"2765,54,286.25,Weekday,multiplex"
"2766,Bubble Boy,564.32,Weekday,single screen"
"2767,Birthday Girl,130.9,Weekday,multiplex"
"2768,21 & Over,146.18,Weekend,single screen"
"2769,""Paris, je t'aime"",181.4,Weekend,single screen"
"2770,Resurrecting the Champ,397.61,Weekday,single screen"
"2771,Admission,175.24,Weekend,single screen"
"2772,The Widow of Saint-Pierre,584.04,Weekend,multiplex"
"2773,Chloe,323.36,Weekend,single screen"
"2774,Faithful,350.76,Weekend,single screen"
"2775,Find Me Guilty,223.33,Weekend,multiplex"
"2776,The Perks of Being a Wallflower,335.48,Weekday,single screen"
"2777,Excessive Force,430.96,Weekend,single screen"
"2778,Infamous,475.59,Weekday,single screen"
"2779,The Claim,476.93,Weekend,multiplex"
"2780,The Vatican Tapes,388.95,Weekday,single screen"
"2781,Attack the Block,552.18,Weekend,multiplex"
"2782,In the Land of Blood and Honey,508.7,Weekday,single screen"
"2783,The Call,478.52,Weekend,single screen"
"2784,Operation Chromite,127.8,Weekday,multiplex"
"2785,The Crocodile Hunter: Collision Course,103.44,Weekend,single screen"
"2786,I Love You Phillip Morris,206.22,Weekday,single screen"
"2787,Quest for Fire,431.76,Weekend,multiplex"
"2788,Antwone Fisher,305.6,Weekday,multiplex"
"2789,The Emperor's Club,301.2,Weekday,multiplex"
"2790,True Romance,542.29,Weekend,multiplex"
"2791,Womb,547.78,Weekend,multiplex"
"2792,Glengarry Glen Ross,554.59,Weekday,single screen"
"2793,The Killer Inside Me,256.94,Weekend,multiplex"
"2794,Cat People,445.53,Weekday,single screen"
"2795,Sorority Row,235.82,Weekday,single screen"
"2796,The Prisoner of Zenda,195.3,Weekday,single screen"
"2797,Lars and the Real Girl,192.32,Weekend,multiplex"
"2798,The Boy in the Striped Pyjamas,271.05,Weekday,multiplex"
"2799,Dancer in the Dark,314.98,Weekday,single screen"
"2800,Oscar and Lucinda,515.47,Weekend,multiplex"
"2801,The Funeral,159.95,Weekend,multiplex"
"2802,Solitary Man,467.46,Weekend,multiplex"
"2803,Machete,365.73,Weekend,multiplex"
"2804,Casino Jack,243.97,Weekday,single screen"
"2805,The Land Before Time,346.41,Weekday,single screen"
"2806,Tae Guk Gi: The Brotherhood of War,249.97,Weekday,multiplex"
"2807,The Perfect Game,398.04,Weekday,single screen"
"2808,The Exorcist,316.92,Weekend,multiplex"
"2809,Jaws,182.2,Weekday,multiplex"
"2810,American Pie,158.29,Weekday,single screen"
"2811,Ernest & Celestine,373.35,Weekend,single screen"
"2812,The Golden Child,551.21,Weekday,single screen"
"2813,Think Like a Man,271.98,Weekday,multiplex"
"2814,Barbershop,466.5,Weekday,single screen"
"2815,Star Trek II: The Wrath of Khan,429.33,Weekday,multiplex"
"2816,Ace Ventura: Pet Detective,565.78,Weekday,single screen"
"2817,WarGames,510.49,Weekday,single screen"
"2818,Witness,383.3,Weekend,multiplex"
"2819,Act of Valor,428.52,Weekend,multiplex"
"2820,Step Up,549.19,Weekday,multiplex"
"2821,Beavis and Butt-Head Do America,299.76,Weekday,multiplex"
"2822,Jackie Brown,263.4,Weekend,multiplex"
"2823,Harold & Kumar Escape from Guantanamo Bay,105.41,Weekday,multiplex"
"2824,Chronicle,513.28,Weekday,multiplex"
"2825,Yentl,500.49,Weekday,multiplex"
"2826,Time Bandits,152.23,Weekend,single screen"
"2827,Crossroads,388.43,Weekday,multiplex"
"2828,Project X,331.99,Weekend,multiplex"
"2829,Patton,159.35,Weekday,single screen"
"2830,One Hour Photo,590.28,Weekend,multiplex"
"2831,Quarantine,207.35,Weekend,single screen"
"2832,The Eye,133.62,Weekday,single screen"
"2833,Johnson Family Vacation,397.42,Weekend,multiplex"
"2834,How High,469.43,Weekday,single screen"
"2835,The Muppet Christmas Carol,116.22,Weekend,multiplex"
"2836,Frida,429.36,Weekday,single screen"
"2837,Katy Perry: Part of Me,366.15,Weekday,single screen"
"2838,The Fault in Our Stars,151.63,Weekend,single screen"
"2839,Rounders,186.26,Weekday,multiplex"
"2840,Top Five,383.99,Weekday,multiplex"
"2841,Prophecy,248.18,Weekend,single screen"
"2842,Stir of Echoes,569.16,Weekday,single screen"
"2843,Philomena,509.37,Weekday,multiplex"
"2844,The Upside of Anger,591.78,Weekend,multiplex"
"2845,The Boys from Brazil,229.84,Weekend,single screen"
"2846,Aquamarine,584.86,Weekday,single screen"
"2847,Paper Towns,315.62,Weekday,multiplex"
"2848,My Baby's Daddy,273.76,Weekend,multiplex"
"2849,Nebraska,125.17,Weekend,multiplex"
"2850,Tales from the Crypt: Demon Knight,126.38,Weekday,multiplex"
"2851,Max Keeble's Big Move,446.01,Weekend,multiplex"
"2852,Young Adult,328.96,Weekday,single screen"
"2853,Crank,213.26,Weekday,multiplex"
"2854,Def Jam's How to Be a Player,406.99,Weekday,single screen"
"2855,Living Out Loud,226.43,Weekday,multiplex"
"2856,Just Wright,388.82,Weekday,single screen"
"2857,Rachel Getting Married,279.6,Weekend,multiplex"
"2858,The Postman Always Rings Twice,511.78,Weekend,multiplex"
"2859,Girl with a Pearl Earring,510.35,Weekend,single screen"
"2860,Das Boot,338.68,Weekend,single screen"
"2861,Sorority Boys,275.41,Weekday,multiplex"
"2862,About Time,281.28,Weekday,multiplex"
"2863,House of Flying Daggers,502.86,Weekday,multiplex"
"2864,Arbitrage,264.09,Weekday,multiplex"
"2865,Project Almanac,204.53,Weekend,multiplex"
"2866,Cadillac Records,142.34,Weekday,single screen"
"2867,Screwed,333.35,Weekday,single screen"
"2868,Fortress,341.07,Weekend,multiplex"
"2869,For Your Consideration,520.45,Weekend,single screen"
"2870,Celebrity,210.62,Weekend,single screen"
"2871,Running with Scissors,290.5,Weekend,single screen"
"2872,From Justin to Kelly,504.2,Weekday,multiplex"
"2873,Girl 6,511.81,Weekday,single screen"
"2874,In the Cut,292.31,Weekend,multiplex"
"2875,Two Lovers,329.56,Weekday,single screen"
"2876,Last Orders,251.64,Weekday,multiplex"
"2877,The Host,566.28,Weekday,single screen"
"2878,The Pursuit of D.B. Cooper,159.32,Weekend,multiplex"
"2879,Ravenous,566.87,Weekday,multiplex"
"2880,Charlie Bartlett,441.93,Weekend,single screen"
"2881,The Great Beauty,365.79,Weekday,multiplex"
"2882,The Dangerous Lives of Altar Boys,116.33,Weekday,multiplex"
"2883,Stoker,337.8,Weekday,multiplex"
"2884,2046,303.87,Weekend,multiplex"
"2885,Married Life,180.61,Weekday,multiplex"
"2886,Duma,428.2,Weekend,multiplex"
"2887,Ondine,585.58,Weekend,multiplex"
"2888,Brother,381.09,Weekend,multiplex"
"2889,Welcome to Collinwood,457.38,Weekday,single screen"
"2890,Critical Care,134.23,Weekday,single screen"
"2891,The Life Before Her Eyes,308.83,Weekday,multiplex"
"2892,Darling Companion,158.18,Weekday,multiplex"
"2893,Trade,406.4,Weekend,single screen"
"2894,Fateless,569.24,Weekend,single screen"
"2895,Breakfast of Champions,430.89,Weekend,single screen"
"2896,""A Woman, a Gun and a Noodle Shop"",138.4,Weekday,multiplex"
"2897,Cypher,277.33,Weekend,single screen"
"2898,City of Life and Death,375.33,Weekday,multiplex"
"2899,Legend of a Rabbit,301.6,Weekend,multiplex"
"2900,Space Battleship Yamato,516.82,Weekday,single screen"
"2901,5 Days of War,507.34,Weekday,multiplex"
"2902,Triangle,405.92,Weekend,multiplex"
"2903,10 Days in a Madhouse,286.73,Weekend,multiplex"
"2904,Heaven is for Real,227.67,Weekend,multiplex"
"2905,Snatch,152.94,Weekend,single screen"
"2906,Dancin' It's On,277.45,Weekday,single screen"
"2907,Pet Sematary,306.59,Weekend,multiplex"
"2908,Madadayo,437.91,Weekend,multiplex"
"2909,The Cry of the Owl,429.08,Weekend,single screen"
"2910,A Tale of Three Cities,135.05,Weekday,multiplex"
"2911,Gremlins,297.63,Weekday,single screen"
"2912,Star Wars,190.89,Weekend,multiplex"
"2913,Dirty Grandpa,178.41,Weekday,multiplex"
"2914,Doctor Zhivago,513.65,Weekend,single screen"
"2915,Trash,120.96,Weekday,single screen"
"2916,High School Musical 3: Senior Year,309.59,Weekday,single screen"
"2917,The Fighter,184.1,Weekday,single screen"
"2918,Jackass Number Two,539.67,Weekday,multiplex"
"2919,My Cousin Vinny,378.52,Weekend,single screen"
"2920,If I Stay,215.69,Weekend,multiplex"
"2921,Drive Hard,351.21,Weekend,single screen"
"2922,Major League,465.74,Weekday,single screen"
"2923,St. Trinian's,579.06,Weekend,multiplex"
"2924,Phone Booth,210.22,Weekend,single screen"
"2925,A Walk to Remember,543.09,Weekend,single screen"
"2926,Dead Man Walking,567.15,Weekday,single screen"
"2927,Cruel Intentions,558.21,Weekday,single screen"
"2928,Saw VI,417.71,Weekday,multiplex"
"2929,History of the World: Part I,414.91,Weekend,multiplex"
"2930,The Secret Life of Bees,301.61,Weekend,single screen"
"2931,Corky Romano,476.2,Weekend,single screen"
"2932,Raising Cain,365.65,Weekday,single screen"
"2933,F.I.S.T.,438.72,Weekday,multiplex"
"2934,Invaders from Mars,314.23,Weekend,multiplex"
"2935,Brooklyn,465.75,Weekday,multiplex"
"2936,Barry Lyndon,512.24,Weekday,multiplex"
"2937,Out Cold,173.22,Weekday,single screen"
"2938,The Ladies Man,516.46,Weekday,single screen"
"2939,Quartet,370.15,Weekend,single screen"
"2940,Tomcats,522.33,Weekday,multiplex"
"2941,Frailty,315.65,Weekday,single screen"
"2942,Woman in Gold,289.52,Weekday,multiplex"
"2943,Kinsey,557.53,Weekday,multiplex"
"2944,Army of Darkness,225.58,Weekend,single screen"
"2945,Slackers,522.11,Weekend,single screen"
"2946,What's Eating Gilbert Grape,342.01,Weekday,single screen"
"2947,The Visual Bible: The Gospel of John,357.05,Weekday,multiplex"
"2948,Vera Drake,254.23,Weekday,multiplex"
"2949,The Guru,386.52,Weekday,single screen"
"2950,The Perez Family,262.61,Weekday,single screen"
"2951,Inside Llewyn Davis,119.63,Weekday,multiplex"
"2952,O,236.0,Weekend,single screen"
"2953,Return to the Blue Lagoon,103.19,Weekday,multiplex"
"2954,The Molly Maguires,589.18,Weekend,multiplex"
"2955,Romance & Cigarettes,582.87,Weekend,single screen"
"2956,Copying Beethoven,297.58,Weekday,single screen"
"2957,Brighton Rock,464.19,Weekend,single screen"
"2958,Saw V,272.9,Weekend,single screen"
"2959,Machine Gun McCain,435.55,Weekend,multiplex"
"2960,LOL,502.72,Weekend,multiplex"
"2961,Jindabyne,573.38,Weekend,multiplex"
"2962,Kabhi Alvida Naa Kehna,300.11,Weekend,single screen"
"2963,An Ideal Husband,491.65,Weekday,multiplex"
"2964,The Last Days on Mars,232.96,Weekend,single screen"
"2965,Darkness,595.17,Weekend,single screen"
"2966,2001: A Space Odyssey,112.88,Weekend,single screen"
"2967,E.T. the Extra-Terrestrial,401.76,Weekday,single screen"
"2968,In the Land of Women,429.75,Weekend,single screen"
"2969,The Blue Butterfly,444.02,Weekday,single screen"
"2970,There Goes My Baby,160.19,Weekend,multiplex"
"2971,Housefull,569.26,Weekday,single screen"
"2972,September Dawn,190.59,Weekday,multiplex"
"2973,For Greater Glory - The True Story of Cristiada,411.38,Weekend,multiplex"
"2974,The Bélier Family,211.34,Weekend,single screen"
"2975,Good Will Hunting,253.61,Weekday,single screen"
"2976,Misconduct,373.23,Weekend,single screen"
"2977,Saw III,308.6,Weekday,multiplex"
"2978,Stripes,180.11,Weekday,single screen"
"2979,Bring It On,185.47,Weekday,multiplex"
"2980,The Purge: Election Year,309.07,Weekday,single screen"
"2981,She's All That,478.64,Weekday,single screen"
"2982,Saw IV,548.98,Weekend,multiplex"
"2983,White Noise,142.06,Weekday,multiplex"
"2984,Madea's Family Reunion,296.55,Weekday,single screen"
"2985,The Color of Money,150.12,Weekend,multiplex"
"2986,The Longest Day,108.3,Weekday,multiplex"
"2987,The Mighty Ducks,430.86,Weekend,multiplex"
"2988,The Grudge,401.22,Weekend,multiplex"
"2989,Happy Gilmore,181.51,Weekend,multiplex"
"2990,Jeepers Creepers,216.91,Weekday,single screen"
"2991,Bill & Ted's Excellent Adventure,111.85,Weekday,single screen"
"2992,Oliver!,517.47,Weekday,multiplex"
"2993,The Best Exotic Marigold Hotel,587.35,Weekend,single screen"
"2994,Recess: School's Out,167.73,Weekday,single screen"
"2995,Mad Max Beyond Thunderdome,215.74,Weekend,multiplex"
"2996,Commando,534.2,Weekday,single screen"
"2997,The Boy,563.23,Weekend,multiplex"
"2998,Devil,309.81,Weekday,multiplex"
"2999,Friday After Next,125.31,Weekday,single screen"
"3000,Insidious: Chapter 3,119.7,Weekday,multiplex"
"3001,The Last Dragon,386.97,Weekday,single screen"
"3002,The Lawnmower Man,296.45,Weekend,multiplex"
"3003,Nick and Norah's Infinite Playlist,114.33,Weekday,single screen"
"3004,Dogma,391.63,Weekday,multiplex"
"3005,The Banger Sisters,105.65,Weekday,single screen"
"3006,Twilight Zone: The Movie,493.69,Weekday,multiplex"
"3007,Road House,253.22,Weekend,multiplex"
"3008,A Low Down Dirty Shame,120.13,Weekday,single screen"
"3009,Swimfan,234.0,Weekend,single screen"
"3010,Employee of the Month,184.86,Weekend,multiplex"
"3011,Can't Hardly Wait,109.57,Weekday,multiplex"
"3012,The Outsiders,489.55,Weekend,single screen"
"3013,Pete's Dragon,404.85,Weekend,single screen"
